"STATE.UT","CRIME.HEAD","number","year"
"Andhra Pradesh","RAPE",871,"2001"
"Arunachal Pradesh","RAPE",33,"2001"
"Assam","RAPE",817,"2001"
"Bihar","RAPE",888,"2001"
"Chhattisgarh","RAPE",959,"2001"
"Goa","RAPE",12,"2001"
"Gujarat","RAPE",286,"2001"
"Haryana","RAPE",398,"2001"
"Himachal Pradesh","RAPE",124,"2001"
"Jammu & Kashmir","RAPE",169,"2001"
"Jharkhand","RAPE",567,"2001"
"Karnataka","RAPE",293,"2001"
"Kerala","RAPE",562,"2001"
"Madhya Pradesh","RAPE",2851,"2001"
"Maharashtra","RAPE",1302,"2001"
"Manipur","RAPE",20,"2001"
"Meghalaya","RAPE",26,"2001"
"Mizoram","RAPE",52,"2001"
"Nagaland","RAPE",17,"2001"
"Odisha","RAPE",790,"2001"
"Punjab","RAPE",298,"2001"
"Rajasthan","RAPE",1049,"2001"
"Sikkim","RAPE",8,"2001"
"Tamil Nadu","RAPE",423,"2001"
"Tripura","RAPE",102,"2001"
"Uttar Pradesh","RAPE",1958,"2001"
"Uttarakhand","RAPE",74,"2001"
"West Bengal","RAPE",709,"2001"
"A&N Islands","RAPE",3,"2001"
"Chandigarh","RAPE",18,"2001"
"D&N Haveli","RAPE",6,"2001"
"Daman & Diu","RAPE",0,"2001"
"Delhi UT","RAPE",381,"2001"
"Lakshadweep","RAPE",0,"2001"
"Puducherry","RAPE",9,"2001"
"All India","RAPE",16075,"2001"
"Andhra Pradesh","KIDNAPPING & ABDUCTION",765,"2001"
"Arunachal Pradesh","KIDNAPPING & ABDUCTION",55,"2001"
"Assam","KIDNAPPING & ABDUCTION",1070,"2001"
"Bihar","KIDNAPPING & ABDUCTION",518,"2001"
"Chhattisgarh","KIDNAPPING & ABDUCTION",171,"2001"
"Goa","KIDNAPPING & ABDUCTION",6,"2001"
"Gujarat","KIDNAPPING & ABDUCTION",857,"2001"
"Haryana","KIDNAPPING & ABDUCTION",297,"2001"
"Himachal Pradesh","KIDNAPPING & ABDUCTION",105,"2001"
"Jammu & Kashmir","KIDNAPPING & ABDUCTION",504,"2001"
"Jharkhand","KIDNAPPING & ABDUCTION",279,"2001"
"Karnataka","KIDNAPPING & ABDUCTION",271,"2001"
"Kerala","KIDNAPPING & ABDUCTION",97,"2001"
"Madhya Pradesh","KIDNAPPING & ABDUCTION",668,"2001"
"Maharashtra","KIDNAPPING & ABDUCTION",611,"2001"
"Manipur","KIDNAPPING & ABDUCTION",62,"2001"
"Meghalaya","KIDNAPPING & ABDUCTION",11,"2001"
"Mizoram","KIDNAPPING & ABDUCTION",1,"2001"
"Nagaland","KIDNAPPING & ABDUCTION",6,"2001"
"Odisha","KIDNAPPING & ABDUCTION",434,"2001"
"Punjab","KIDNAPPING & ABDUCTION",324,"2001"
"Rajasthan","KIDNAPPING & ABDUCTION",2165,"2001"
"Sikkim","KIDNAPPING & ABDUCTION",2,"2001"
"Tamil Nadu","KIDNAPPING & ABDUCTION",607,"2001"
"Tripura","KIDNAPPING & ABDUCTION",35,"2001"
"Uttar Pradesh","KIDNAPPING & ABDUCTION",2879,"2001"
